# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     -4.448863e-08 -7.640250e-09 -5.468187e-08     -3.429293e-08 0.000000e+00 -4.971819e-08     -1.019570e-08 -7.640250e-09 -4.963686e-09
1.596051     4.744516e-08 1.004280e-07 -3.447382e-08     8.566679e-08 0.000000e+00 4.943108e-08     -3.822163e-08 1.004280e-07 -8.390489e-08
2.660086     -1.569658e-06 6.052268e-08 7.339585e-07     -1.325340e-06 0.000000e+00 4.079030e-07     -2.443179e-07 6.052268e-08 3.260555e-07
3.724120     2.884982e-06 6.081175e-06 9.322478e-06     2.540959e-06 0.000000e+00 3.963271e-06     3.440230e-07 6.081175e-06 5.359207e-06
4.788154     1.051394e-05 -2.445220e-08 4.976159e-06     5.055479e-06 0.000000e+00 -5.450962e-07     5.458461e-06 -2.445220e-08 5.521255e-06
5.852189     -1.401836e-05 1.102745e-05 -5.843571e-06     -8.871840e-06 0.000000e+00 1.999966e-06     -5.146518e-06 1.102745e-05 -7.843537e-06
6.916223     -1.231132e-05 2.121034e-06 -3.148924e-06     -4.182277e-06 0.000000e+00 2.114920e-06     -8.129043e-06 2.121034e-06 -5.263844e-06
7.980257     6.510911e-06 2.871570e-06 1.096878e-06     1.625191e-05 0.000000e+00 5.706619e-06     -9.741001e-06 2.871570e-06 -4.609741e-06
9.044291     -1.571513e-05 6.874514e-06 -7.206399e-06     -3.509129e-06 0.000000e+00 -1.491316e-06     -1.220600e-05 6.874514e-06 -5.715083e-06
10.108326     -5.914028e-06 -3.828207e-06 -1.446813e-05     -7.425749e-06 0.000000e+00 -7.163772e-06     1.511721e-06 -3.828207e-06 -7.304356e-06
11.172360     5.761278e-06 2.196552e-06 9.591584e-07     4.427929e-06 0.000000e+00 1.088637e-06     1.333348e-06 2.196552e-06 -1.294784e-07
12.236394     1.884236e-07 3.258550e-08 2.224494e-07     2.607919e-07 0.000000e+00 -1.482994e-08     -7.236832e-08 3.258550e-08 2.372794e-07
13.300429     -2.723622e-07 -3.417153e-08 -4.242152e-08     -2.017025e-07 0.000000e+00 1.491774e-08     -7.065973e-08 -3.417153e-08 -5.733926e-08
14.364463     8.205904e-08 -1.563189e-07 9.235682e-08     -2.103722e-08 0.000000e+00 1.317320e-10     1.030963e-07 -1.563189e-07 9.222509e-08
