# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.259048e-06    1.259048e-06 1.530261e-12 3.089510e-21
1.596051 5.015668e-06    5.015668e-06 1.644524e-12 9.539476e-21
2.660086 8.217782e-05    8.217782e-05 1.876417e-12 -4.195571e-19
3.724120 1.656055e-04    1.656055e-04 2.783979e-12 -7.946512e-20
4.788154 2.178072e-04    2.178072e-04 3.281664e-12 3.714279e-19
5.852189 2.277069e-04    2.277069e-04 3.421143e-12 -2.391301e-19
6.916223 2.282392e-04    2.282392e-04 3.443542e-12 1.729267e-18
7.980257 2.290450e-04    2.290450e-04 3.450848e-12 6.642523e-18
9.044291 2.286440e-04    2.286440e-04 3.382291e-12 -4.374548e-19
10.108326 2.183751e-04    2.183751e-04 3.287995e-12 -1.230813e-18
11.172360 1.660362e-04    1.660362e-04 2.766210e-12 1.170152e-18
12.236394 8.189110e-05    8.189110e-05 1.853684e-12 -6.276114e-20
13.300429 4.381813e-06    4.381813e-06 1.633957e-12 2.493509e-20
14.364463 2.949293e-06    2.949293e-06 1.528265e-12 -4.449868e-21
