# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.489709e-05    1.281175e-06 9.488844e-05 1.190965e-15
1.596051 9.502974e-05    4.391876e-06 9.492828e-05 -1.483004e-14
2.660086 1.183933e-04    7.009594e-05 9.540763e-05 9.126298e-13
3.724120 2.666759e-04    1.400590e-04 2.268376e-04 4.419565e-11
4.788154 3.368094e-04    1.840364e-04 2.819965e-04 4.911821e-11
5.852189 3.422112e-04    1.926170e-04 2.827495e-04 5.990381e-11
6.916223 3.388134e-04    1.930536e-04 2.783507e-04 4.569132e-11
7.980257 3.433125e-04    1.937441e-04 2.840697e-04 -3.688596e-10
9.044291 3.407268e-04    1.933692e-04 2.803578e-04 1.026114e-10
10.108326 3.355346e-04    1.845470e-04 2.800780e-04 8.215018e-11
11.172360 2.633921e-04    1.404471e-04 2.227969e-04 1.152313e-11
12.236394 1.183486e-04    6.985922e-05 9.553078e-05 -4.470076e-14
13.300429 9.500615e-05    3.774628e-06 9.493099e-05 2.677244e-14
14.364463 9.499417e-05    2.651474e-06 9.495718e-05 -4.309768e-15
