# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.393548e-06    1.281175e-06 5.471538e-07 1.190965e-15
1.596051 5.206779e-06    4.391876e-06 2.799429e-06 -1.483004e-14
2.660086 7.078207e-05    7.009594e-05 9.785064e-06 9.126298e-13
3.724120 2.491758e-04    1.400590e-04 2.059802e-04 4.419565e-11
4.788154 3.231671e-04    1.840364e-04 2.655532e-04 4.911821e-11
5.852189 3.287932e-04    1.926170e-04 2.663528e-04 5.990381e-11
6.916223 3.252553e-04    1.930536e-04 2.616785e-04 4.569132e-11
7.980257 3.299394e-04    1.937441e-04 2.677537e-04 -3.688596e-10
9.044291 3.272480e-04    1.933692e-04 2.638124e-04 1.026114e-10
10.108326 3.218383e-04    1.845470e-04 2.635150e-04 8.215018e-11
11.172360 2.456548e-04    1.404471e-04 2.015177e-04 1.152313e-11
12.236394 7.070738e-05    6.985922e-05 1.092102e-05 -4.470076e-14
13.300429 4.757526e-06    3.774628e-06 2.891273e-06 2.677244e-14
14.364463 4.512588e-06    2.651474e-06 3.652047e-06 -4.309768e-15
