# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.311214e-06    1.281175e-06 2.769118e-07 1.192852e-15
1.596051 4.682149e-06    4.391876e-06 1.627510e-06 -1.484367e-14
2.660086 7.027443e-05    7.009594e-05 4.913428e-06 9.136067e-13
3.724120 1.744428e-04    1.400590e-04 1.037764e-04 4.422827e-11
4.788154 2.269974e-04    1.840364e-04 1.326998e-04 4.917104e-11
5.852189 2.348226e-04    1.926170e-04 1.340910e-04 5.994456e-11
6.916223 2.331962e-04    1.930536e-04 1.306331e-04 4.573060e-11
7.980257 2.351708e-04    1.937441e-04 1.346765e-04 -3.692318e-10
9.044291 2.347372e-04    1.933692e-04 1.326920e-04 1.027109e-10
10.108326 2.270780e-04    1.845470e-04 1.320024e-04 8.220217e-11
11.172360 1.728317e-04    1.404471e-04 1.006671e-04 1.152604e-11
12.236394 7.009188e-05    6.985922e-05 5.710251e-06 -4.478382e-14
13.300429 4.017903e-06    3.774628e-06 1.367088e-06 2.679375e-14
14.364463 3.466574e-06    2.651474e-06 2.234084e-06 -4.313419e-15
