# rcut cp cp_e kappa kappa_e
4.0 57.193 0.54109 43.961 0.42098
5.0 51.263 0.46138 39.769 0.37182
6.0 49.054 0.43539 38.225 0.34870
7.0 49.543 0.42058 38.590 0.33357
8.0 48.688 0.44262 37.870 0.35584
9.0 47.745 0.40107 37.153 0.31452
10.0 46.962 0.38604 36.475 0.30695
11.0 47.095 0.31723 36.756 0.24990
