# rcut cp cp_e kappa kappa_e
3.0 66.421 0.66814 39.468 0.43066
4.0 58.073 0.54401 40.360 0.38791
5.0 54.025 0.47900 38.587 0.34899
6.0 51.785 0.46005 37.173 0.33930
7.0 49.414 0.48862 35.478 0.36786
8.0 50.190 0.44842 35.998 0.34068
9.0 49.128 0.44560 35.375 0.33255
10.0 49.059 0.47717 35.263 0.35732
11.0 49.227 0.39517 35.378 0.29084
