# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.493710e-05    3.085154e-06 9.488695e-05 6.587518e-17
1.596051 9.505232e-05    5.605916e-06 9.488686e-05 -4.854883e-18
2.660086 1.241103e-04    7.965310e-05 9.517737e-05 2.148512e-14
3.724120 2.761346e-04    1.643420e-04 2.218530e-04 2.324716e-11
4.788154 3.547627e-04    2.176479e-04 2.801436e-04 5.582492e-12
5.852189 3.622883e-04    2.284950e-04 2.811427e-04 1.628445e-12
6.916223 3.625550e-04    2.286523e-04 2.813670e-04 -3.153722e-12
7.980257 3.615109e-04    2.288433e-04 2.798245e-04 1.914147e-11
9.044291 3.630524e-04    2.286565e-04 2.820054e-04 -3.794829e-12
10.108326 3.571691e-04    2.185317e-04 2.825164e-04 -1.810923e-12
11.172360 2.861652e-04    1.648760e-04 2.338797e-04 6.752538e-12
12.236394 1.249419e-04    8.089823e-05 9.521734e-05 -3.787094e-13
13.300429 9.492329e-05    2.627891e-06 9.488691e-05 -1.755662e-16
14.364463 9.492819e-05    2.800503e-06 9.488687e-05 2.048414e-17
