# rcut cp cp_e kappa kappa_e
4.0 56.177 0.50859 43.308 0.39521
5.0 50.750 0.43502 39.451 0.35421
6.0 49.464 0.45555 38.608 0.35823
7.0 48.321 0.39689 37.733 0.31781
8.0 47.768 0.43841 37.100 0.35004
9.0 48.246 0.36892 37.643 0.30156
10.0 48.008 0.39241 37.475 0.31715
11.0 47.528 0.42537 37.042 0.34821
