# rcut cp cp_e kappa kappa_e
4.0 56.703 0.48973 43.244 0.36724
5.0 50.893 0.44946 39.279 0.34696
6.0 48.094 0.41479 37.236 0.32229
7.0 48.020 0.40289 37.220 0.31334
#8.0 48.456 0.40856 37.684 0.31529
#8.0 48.456 0.40856 37.684 0.31529
#8.0 48.456 0.40856 37.684 0.31529
8.0 48.100 0.39094 37.387 0.30431
9.0 47.919 0.38418 37.126 0.30494
10.0 48.500 0.40443 37.627 0.31083
11.0 48.305 0.38440 37.480 0.31021
