# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.094014 5.935265e-05   1.966521e-12 1.269477e-37   1.714527e-08 -2.460358e-21   -1.362450e-08 5.939251e-25
6.217126 5.928678e-05   2.171227e-12 5.208176e-37   1.703153e-08 -2.168286e-21   -1.351877e-08 -9.175895e-25
6.340237 5.937095e-05   1.277298e-12 1.124329e-36   1.715535e-08 -2.390994e-21   -1.363171e-08 -8.610714e-26
6.463349 5.972968e-05   6.059077e-13 6.190419e-37   1.739511e-08 -3.098344e-22   -1.382808e-08 -6.857627e-25
6.586460 6.002643e-05   1.344726e-13 8.261810e-37   1.752801e-08 -1.668812e-21   -1.392497e-08 5.275039e-25
6.709571 6.012709e-05   7.555789e-13 4.921256e-37   1.769209e-08 -2.646474e-21   -1.407758e-08 5.262526e-25
6.832683 5.998689e-05   1.959356e-12 1.130050e-36   1.760287e-08 -6.169625e-22   -1.400640e-08 -1.047002e-25
6.955794 5.982803e-05   4.040770e-12 6.558849e-37   1.747616e-08 -1.326542e-21   -1.390081e-08 8.224323e-26
7.078906 5.979171e-05   8.092209e-12 4.745756e-37   1.748785e-08 5.667863e-22   -1.392090e-08 -6.233354e-25
7.202017 5.976136e-05   1.169269e-11 1.222956e-36   1.740468e-08 4.727407e-22   -1.384495e-08 2.352939e-25
7.325128 5.990327e-05   1.304679e-11 1.759143e-36   1.747464e-08 7.982189e-23   -1.389929e-08 -1.263316e-25
7.448240 6.003558e-05   5.819574e-12 1.388491e-36   1.759151e-08 -4.833934e-22   -1.399305e-08 2.351484e-25
7.571351 5.983447e-05   2.782481e-12 2.442683e-36   1.747828e-08 -5.173288e-22   -1.390090e-08 -1.423199e-25
7.694463 5.967187e-05   2.677164e-12 2.312835e-36   1.735842e-08 1.038054e-22   -1.380037e-08 -1.213769e-25
7.817574 5.981020e-05   5.690833e-12 1.341020e-36   1.744289e-08 1.427559e-22   -1.387132e-08 -1.147546e-25
7.940685 5.955337e-05   1.074742e-11 1.606549e-36   1.730876e-08 8.099729e-22   -1.377291e-08 1.002292e-26
8.063797 5.950409e-05   1.455421e-11 1.928324e-36   1.723251e-08 2.029333e-21   -1.370633e-08 -9.387014e-26
8.186908 5.953687e-05   1.748799e-11 1.269779e-36   1.725910e-08 1.330836e-21   -1.373195e-08 -2.535273e-25
8.310020 5.951128e-05   1.556573e-11 3.509622e-37   1.723720e-08 1.098530e-21   -1.371117e-08 1.010846e-26
8.433131 5.980991e-05   1.387284e-11 4.606205e-37   1.745556e-08 1.453584e-21   -1.389220e-08 -7.741269e-25
8.556242 6.003769e-05   8.724259e-12 1.440145e-37   1.759124e-08 1.013790e-21   -1.399544e-08 9.511593e-27
8.679354 6.018182e-05   4.016688e-12 4.778174e-39   1.766973e-08 2.315621e-21   -1.405189e-08 1.513182e-25
8.802465 6.046500e-05   6.890555e-12 5.664724e-38   1.786028e-08 2.300027e-21   -1.421116e-08 3.531667e-25
8.925577 6.028783e-05   1.924640e-11 2.990351e-37   1.764664e-08 2.074296e-21   -1.403126e-08 -3.839817e-26
9.048688 6.001456e-05   8.916938e-12 5.235865e-37   1.747057e-08 1.385020e-21   -1.387773e-08 -5.148982e-26
9.171799 6.013541e-05   4.895986e-11 1.394729e-37   1.748287e-08 3.782790e-23   -1.391557e-08 6.160118e-25
9.294911 6.014201e-05   2.700470e-11 1.949925e-37   1.760086e-08 3.898133e-22   -1.401080e-08 4.777304e-25
9.418022 6.020614e-05   2.988498e-11 1.058752e-36   1.763548e-08 2.273745e-21   -1.404059e-08 8.524984e-25
9.541134 6.072172e-05   6.015748e-11 7.310011e-37   1.786991e-08 7.114011e-22   -1.424294e-08 7.207550e-25
9.664245 6.043689e-05   5.812049e-11 8.695853e-37   1.759001e-08 1.137953e-21   -1.399552e-08 7.947865e-25
9.787356 6.021051e-05   2.838220e-11 1.431081e-37   1.756890e-08 -4.743425e-22   -1.397197e-08 -2.664014e-25
9.910468 6.001737e-05   9.414028e-12 2.994044e-37   1.757150e-08 8.945207e-22   -1.397883e-08 -4.727954e-25
10.033579 6.007170e-05   6.691518e-12 7.544402e-37   1.753061e-08 2.213822e-21   -1.392870e-08 9.684781e-25
10.156691 6.022584e-05   4.121840e-12 2.383049e-37   1.770473e-08 1.306781e-21   -1.408170e-08 -2.513776e-26
10.279802 6.077354e-05   2.546791e-11 6.229859e-38   1.796178e-08 2.023458e-21   -1.429382e-08 7.710192e-26
10.402913 6.050113e-05   1.717364e-11 5.311652e-37   1.773915e-08 2.506302e-21   -1.409594e-08 -2.044441e-25
10.526025 6.039619e-05   2.355755e-11 5.370980e-37   1.763248e-08 2.189760e-22   -1.400834e-08 3.007498e-25
10.649136 5.999701e-05   4.280156e-11 6.644642e-37   1.732675e-08 -2.022934e-23   -1.376991e-08 -4.523023e-25
10.772248 5.861820e-05   2.899942e-12 6.738487e-37   1.678652e-08 1.459813e-21   -1.335333e-08 6.583164e-25
10.895359 5.746465e-05   3.981384e-11 3.773136e-37   1.601791e-08 2.734711e-22   -1.275554e-08 5.767520e-25
11.018470 5.493401e-05   5.546544e-11 6.926957e-37   1.450249e-08 8.343972e-22   -1.154021e-08 -7.860143e-26
11.141582 5.033274e-05   1.033355e-11 5.233902e-37   1.232812e-08 -6.557440e-22   -9.805067e-09 1.621585e-25
11.264693 4.402360e-05   1.898347e-11 4.419433e-37   9.362527e-09 1.378274e-21   -7.443433e-09 -1.207005e-24
11.387805 3.648673e-05   2.273305e-11 9.774747e-38   6.374177e-09 1.903696e-21   -5.065628e-09 8.009192e-25
11.510916 2.772282e-05   2.284065e-12 1.968275e-37   3.724633e-09 8.839683e-22   -2.958363e-09 -1.066308e-24
11.634027 1.975929e-05   2.980403e-12 3.705875e-37   1.847411e-09 9.032168e-22   -1.459962e-09 6.102676e-25
11.757139 1.340975e-05   3.803783e-12 1.715960e-37   8.560372e-10 1.999875e-21   -6.800196e-10 3.815393e-25
11.880250 8.251638e-06   1.402596e-13 1.883320e-37   3.548632e-10 -1.349805e-22   -2.869139e-10 3.236853e-25
12.003362 4.814339e-06   6.131455e-13 9.359518e-37   1.276690e-10 8.623630e-22   -1.051042e-10 -1.089886e-24
12.126473 2.650217e-06   5.746352e-13 3.842627e-37   4.181459e-11 2.006931e-21   -3.536557e-11 -3.515360e-25
12.249584 1.322409e-06   7.784295e-14 9.710632e-37   1.217096e-11 2.610603e-22   -1.050004e-11 7.148153e-25
12.372696 6.123918e-07   2.016120e-15 1.215233e-36   3.011930e-12 1.204566e-21   -2.638922e-12 4.269195e-25
12.495807 2.723321e-07   5.478326e-15 9.286461e-37   5.884691e-13 -1.547033e-21   -5.197827e-13 8.149977e-25
12.618919 1.196228e-07   1.398281e-15 4.392316e-37   8.271055e-14 -1.248315e-22   -6.979922e-14 -3.192958e-25
12.742030 5.294043e-08   1.186462e-16 4.332445e-37   1.022940e-14 2.051038e-21   -7.545361e-15 4.983501e-25
12.865141 2.662610e-08   5.435906e-18 1.271227e-37   2.134024e-15 1.268397e-21   -1.430511e-15 -7.031868e-25
12.988253 1.645073e-08   6.315750e-19 8.125821e-37   7.685673e-16 7.645056e-22   -4.985722e-16 1.243290e-24
13.111364 1.306823e-08   1.035583e-18 2.391677e-37   4.822689e-16 2.035517e-21   -3.125257e-16 4.221422e-25
13.234476 1.359627e-08   3.010348e-18 9.441039e-38   7.363198e-16 -4.537937e-22   -5.544716e-16 8.135631e-25
13.357587 1.513669e-08   5.038142e-18 5.850762e-38   1.412479e-15 1.320236e-21   -1.188398e-15 -4.459364e-25
13.480698 1.634733e-08   3.988569e-18 2.478468e-37   1.995176e-15 3.707009e-21   -1.731930e-15 -1.419885e-25
13.603810 1.704643e-08   1.694517e-18 6.168092e-37   1.946269e-15 1.458465e-21   -1.657383e-15 6.405420e-25
13.726921 1.689970e-08   1.187630e-18 4.240220e-37   1.493087e-15 2.660741e-21   -1.208674e-15 2.732974e-25
13.850033 1.593722e-08   9.419089e-19 1.185537e-37   1.202700e-15 -3.612003e-22   -9.496473e-16 7.597486e-25
13.973144 1.445380e-08   1.309839e-18 7.269992e-37   1.053926e-15 2.104081e-22   -8.463234e-16 -2.773206e-25
14.096255 1.234096e-08   1.570178e-18 6.401645e-37   7.794206e-16 1.619213e-21   -6.286916e-16 -8.891336e-26
14.219367 1.000725e-08   6.606282e-19 1.151789e-37   4.794563e-16 1.739585e-21   -3.799718e-16 -6.175831e-25
14.342478 8.813628e-09   2.175713e-19 5.711595e-37   3.846162e-16 1.774169e-21   -3.071538e-16 2.985296e-25
14.465590 1.053216e-08   5.773348e-19 2.541518e-38   5.355090e-16 1.516320e-21   -4.251600e-16 -6.255402e-26
14.588701 1.551100e-08   8.916357e-19 1.913047e-37   9.700157e-16 5.773258e-22   -7.303163e-16 1.941771e-25
14.711813 2.260222e-08   1.626030e-18 2.042256e-37   2.477826e-15 5.453011e-22   -1.968592e-15 -4.109264e-25
14.834924 3.104712e-08   5.959255e-18 4.000531e-37   7.161058e-15 8.269002e-22   -6.203094e-15 -2.627303e-25
