# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.144896e-04    1.141425e-04 1.815310e-04 2.380141e-11
1.596051 2.157942e-04    1.140646e-04 1.831844e-04 -1.473575e-13
2.660086 4.164909e-04    3.726232e-04 1.811383e-04 1.805548e-09
3.724120 7.838928e-04    7.186603e-04 2.193326e-04 4.990846e-08
4.788154 3.750310e-04    2.872404e-04 2.389018e-04 1.067142e-09
5.852189 2.850903e-04    1.581693e-04 2.371447e-04 2.135804e-11
6.916223 2.814205e-04    1.586931e-04 2.322304e-04 8.302455e-11
7.980257 2.871413e-04    1.583624e-04 2.393977e-04 6.023180e-11
9.044291 2.842189e-04    1.573436e-04 2.363360e-04 1.686473e-10
10.108326 3.704440e-04    2.870279e-04 2.334070e-04 3.648849e-10
11.172360 7.751016e-04    7.200286e-04 2.163300e-04 3.554268e-08
12.236394 4.201019e-04    3.705679e-04 1.832576e-04 5.581730e-09
13.300429 2.155322e-04    1.142637e-04 1.827627e-04 -4.256236e-12
14.364463 2.170365e-04    1.143945e-04 1.844647e-04 -8.460349e-12
