# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.923598e-04    1.141425e-04 1.547578e-04 2.380141e-11
1.596051 1.938133e-04    1.140646e-04 1.566940e-04 -1.473575e-13
2.660086 4.055381e-04    3.726232e-04 1.542969e-04 1.805548e-09
3.724120 7.781276e-04    7.186603e-04 1.977410e-04 4.990846e-08
4.788154 3.628288e-04    2.872404e-04 2.192499e-04 1.067142e-09
5.852189 2.688364e-04    1.581693e-04 2.173341e-04 2.135804e-11
6.916223 2.649414e-04    1.586931e-04 2.119609e-04 8.302455e-11
7.980257 2.710103e-04    1.583624e-04 2.197902e-04 6.023180e-11
9.044291 2.679120e-04    1.573436e-04 2.164513e-04 1.686473e-10
10.108326 3.580855e-04    2.870279e-04 2.132494e-04 3.648849e-10
11.172360 7.692705e-04    7.200286e-04 1.944047e-04 3.554268e-08
12.236394 4.092458e-04    3.705679e-04 1.567796e-04 5.581730e-09
13.300429 1.935216e-04    1.142637e-04 1.562007e-04 -4.256236e-12
14.364463 1.951956e-04    1.143945e-04 1.581888e-04 -8.460349e-12
