# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.513440e-06    1.512852e-06 4.177548e-08 3.588637e-17
1.596051 2.753439e-06    2.753436e-06 4.098252e-09 -3.236925e-18
2.660086 3.571652e-05    3.558018e-05 3.114135e-06 2.286554e-14
3.724120 1.107600e-04    7.025597e-05 8.557344e-05 9.059413e-12
4.788154 1.447342e-04    9.259678e-05 1.112368e-04 1.927340e-13
5.852189 1.491425e-04    9.773025e-05 1.126542e-04 1.309033e-12
6.916223 1.491695e-04    9.783856e-05 1.126071e-04 -1.190561e-12
7.980257 1.487241e-04    9.789522e-05 1.119247e-04 8.239993e-12
9.044291 1.490071e-04    9.783113e-05 1.123997e-04 -1.507217e-12
10.108326 1.463553e-04    9.299067e-05 1.130178e-04 -4.144976e-13
11.172360 1.158775e-04    7.055575e-05 9.190436e-05 3.078157e-12
12.236394 3.625893e-05    3.610721e-05 3.339574e-06 -1.738589e-13
13.300429 2.083022e-06    2.082918e-06 2.418472e-08 -1.503556e-16
14.364463 1.662151e-06    1.662078e-06 1.552856e-08 3.424954e-18
