# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     2.750826e-08 1.267334e-09 3.556217e-10     2.682209e-08 0.000000e+00 -5.243466e-10     6.861730e-10 1.267334e-09 8.799683e-10
1.596051     1.459591e-07 1.957198e-11 -1.477686e-09     1.459700e-07 0.000000e+00 -1.496338e-09     -1.089643e-11 1.957198e-11 1.865232e-11
2.660086     3.859756e-09 -9.049247e-09 -2.841545e-07     -8.387457e-09 0.000000e+00 -2.350851e-07     1.224721e-08 -9.049247e-09 -4.906943e-08
3.724120     -4.604872e-06 2.934940e-06 2.756914e-07     -1.413333e-06 0.000000e+00 1.364690e-07     -3.191539e-06 2.934940e-06 1.392224e-07
4.788154     2.917190e-06 1.886143e-07 2.323423e-07     6.230807e-07 0.000000e+00 -1.044236e-06     2.294109e-06 1.886143e-07 1.276578e-06
5.852189     1.446152e-06 1.172999e-06 -7.540644e-07     7.302973e-07 0.000000e+00 -4.791273e-07     7.158547e-07 1.172999e-06 -2.749372e-07
6.916223     1.208429e-07 -1.721112e-06 1.048694e-06     -3.378372e-07 0.000000e+00 1.370078e-06     4.586801e-07 -1.721112e-06 -3.213841e-07
7.980257     -2.090256e-07 -1.359493e-06 -4.386309e-06     6.225995e-10 0.000000e+00 -1.362612e-06     -2.096482e-07 -1.359493e-06 -3.023697e-06
9.044291     5.075943e-07 -2.319141e-06 -1.150242e-06     -3.064323e-07 0.000000e+00 3.386233e-07     8.140266e-07 -2.319141e-06 -1.488865e-06
10.108326     9.582472e-07 4.759430e-07 7.988470e-07     4.571608e-07 0.000000e+00 -3.724994e-07     5.010864e-07 4.759430e-07 1.171346e-06
11.172360     1.106741e-07 -2.066714e-06 -2.574571e-06     2.904409e-07 0.000000e+00 -1.030743e-06     -1.797669e-07 -2.066714e-06 -1.543828e-06
12.236394     6.883059e-08 4.921245e-08 -7.694627e-08     -2.548044e-07 0.000000e+00 -1.155836e-07     3.236350e-07 4.921245e-08 3.863733e-08
13.300429     -1.157574e-07 5.737475e-10 -1.383304e-08     -1.165807e-07 0.000000e+00 -1.211542e-08     8.233556e-10 5.737475e-10 -1.717614e-09
14.364463     -1.427918e-08 1.595101e-10 4.650440e-09     -1.429641e-08 0.000000e+00 4.182029e-09     1.723743e-11 1.595101e-10 4.684115e-10
