# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -1.483488e-07     -1.483488e-07 0.000000e+00  1.272537e-08 0.000000e+00  -1.066602e-08 0.000000e+00
0.770508 1.786372e-07     1.786372e-07 0.000000e+00  -1.200746e-08 0.000000e+00  6.185342e-09 0.000000e+00
1.284179 -1.987440e-07     -1.987440e-07 0.000000e+00  3.634183e-08 0.000000e+00  1.009589e-08 0.000000e+00
1.797851 3.690200e-07     3.690200e-07 0.000000e+00  -2.597983e-08 0.000000e+00  -1.025749e-08 0.000000e+00
2.311523 -3.873107e-07     -3.873107e-07 0.000000e+00  2.062671e-08 0.000000e+00  7.417218e-08 0.000000e+00
2.825194 1.711021e-07     1.711021e-07 0.000000e+00  -3.562115e-07 0.000000e+00  1.062817e-07 0.000000e+00
3.338866 -3.353910e-07     -3.353910e-07 0.000000e+00  -1.189119e-06 0.000000e+00  -7.597761e-07 0.000000e+00
3.852538 -1.772647e-06     -1.772647e-06 0.000000e+00  5.783317e-07 0.000000e+00  9.974282e-07 0.000000e+00
4.366210 1.094715e-06     1.094715e-06 0.000000e+00  -1.023185e-06 0.000000e+00  1.036327e-06 0.000000e+00
4.879881 5.205519e-07     5.205519e-07 0.000000e+00  -1.048812e-06 0.000000e+00  -8.126314e-07 0.000000e+00
5.393553 -1.018299e-07     -1.018299e-07 0.000000e+00  -1.221674e-07 0.000000e+00  -1.030684e-06 0.000000e+00
5.907225 8.301529e-07     8.301529e-07 0.000000e+00  -5.219626e-07 0.000000e+00  -4.759838e-07 0.000000e+00
6.420896 -9.364438e-08     -9.364438e-08 0.000000e+00  1.368104e-06 0.000000e+00  1.529375e-06 0.000000e+00
6.934568 -3.468812e-07     -3.468812e-07 0.000000e+00  1.370151e-06 0.000000e+00  8.127446e-08 0.000000e+00
7.448240 1.044890e-06     1.044890e-06 0.000000e+00  -7.070610e-08 0.000000e+00  8.293326e-07 0.000000e+00
7.961912 2.412366e-08     2.412366e-08 0.000000e+00  -1.375506e-06 0.000000e+00  1.626341e-06 0.000000e+00
8.475583 -6.339150e-07     -6.339150e-07 0.000000e+00  -1.014480e-06 0.000000e+00  1.157964e-06 0.000000e+00
8.989255 -3.008787e-07     -3.008787e-07 0.000000e+00  2.449184e-07 0.000000e+00  -9.347379e-07 0.000000e+00
9.502927 -3.527118e-07     -3.527118e-07 0.000000e+00  1.119495e-06 0.000000e+00  -1.831939e-07 0.000000e+00
10.016598 6.664793e-07     6.664793e-07 0.000000e+00  -2.778786e-07 0.000000e+00  3.805442e-07 0.000000e+00
10.530270 -5.056972e-07     -5.056972e-07 0.000000e+00  -8.077519e-07 0.000000e+00  3.859191e-07 0.000000e+00
11.043942 1.324972e-07     1.324972e-07 0.000000e+00  -1.189805e-06 0.000000e+00  -6.968877e-07 0.000000e+00
11.557613 7.642709e-07     7.642709e-07 0.000000e+00  -5.535575e-07 0.000000e+00  -3.702538e-07 0.000000e+00
12.071285 -2.830238e-07     -2.830238e-07 0.000000e+00  -1.453017e-07 0.000000e+00  -1.184787e-07 0.000000e+00
12.584957 -1.952304e-07     -1.952304e-07 0.000000e+00  -5.284563e-08 0.000000e+00  2.671071e-08 0.000000e+00
13.098629 -2.967131e-07     -2.967131e-07 0.000000e+00  -2.863239e-08 0.000000e+00  -1.025237e-09 0.000000e+00
13.612300 1.618051e-07     1.618051e-07 0.000000e+00  1.341075e-08 0.000000e+00  -5.638929e-09 0.000000e+00
14.125972 -1.658434e-07     -1.658434e-07 0.000000e+00  1.711938e-10 0.000000e+00  1.749582e-09 0.000000e+00
14.639644 1.605651e-07     1.605651e-07 0.000000e+00  8.809905e-09 0.000000e+00  1.008820e-08 0.000000e+00
