# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.513864e-06    1.512852e-06 5.502124e-08 3.588637e-17
1.596051 2.753444e-06    2.753436e-06 6.968616e-09 -3.236925e-18
2.660086 3.576356e-05    3.558018e-05 3.613862e-06 2.286554e-14
3.724120 1.225302e-04    7.025597e-05 1.003429e-04 9.059413e-12
4.788154 1.603948e-04    9.259678e-05 1.309662e-04 1.927340e-13
5.852189 1.644575e-04    9.773025e-05 1.322640e-04 1.309033e-12
6.916223 1.645947e-04    9.783856e-05 1.323639e-04 -1.190561e-12
7.980257 1.639754e-04    9.789522e-05 1.315150e-04 8.239993e-12
9.044291 1.644857e-04    9.783113e-05 1.322351e-04 -1.507217e-12
10.108326 1.621364e-04    9.299067e-05 1.328208e-04 -4.144976e-13
11.172360 1.286176e-04    7.055575e-05 1.075235e-04 3.078157e-12
12.236394 3.630658e-05    3.610721e-05 3.822405e-06 -1.738589e-13
13.300429 2.083140e-06    2.082918e-06 3.279385e-08 -1.503556e-16
14.364463 1.662202e-06    1.662078e-06 2.024869e-08 3.424954e-18
