# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.701663e-06    2.701329e-06 4.177548e-08 5.912884e-17
1.596051 4.939381e-06    4.939380e-06 4.098252e-09 -4.572412e-18
2.660086 6.805570e-05    6.798424e-05 3.114135e-06 2.347469e-14
3.724120 1.632826e-04    1.389927e-04 8.557344e-05 1.943751e-11
4.788154 2.149350e-04    1.839011e-04 1.112368e-04 3.830011e-12
5.852189 2.237069e-04    1.932671e-04 1.126542e-04 1.640845e-12
6.916223 2.238042e-04    1.934181e-04 1.126071e-04 -2.634359e-12
7.980257 2.236351e-04    1.935697e-04 1.119247e-04 1.629680e-11
9.044291 2.236979e-04    1.934174e-04 1.123997e-04 -3.206548e-12
10.108326 2.164941e-04    1.846566e-04 1.130178e-04 -1.382963e-12
11.172360 1.670481e-04    1.394734e-04 9.190436e-05 5.813802e-12
12.236394 6.911330e-05    6.903493e-05 3.339574e-06 -3.265587e-13
13.300429 2.881540e-06    2.881469e-06 2.418472e-08 -1.774319e-16
14.364463 2.588134e-06    2.588084e-06 1.552856e-08 1.523737e-17
