# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.217126 1.162147e-05   2.171227e-12 5.208176e-37   1.227260e-08 -2.420959e-21   -1.213971e-08 8.923668e-25
6.340237 1.153475e-05   1.277298e-12 1.124329e-36   1.237259e-08 -1.041576e-21   -1.224082e-08 5.715551e-25
6.463349 1.166021e-05   6.059077e-13 6.190419e-37   1.257741e-08 -1.613171e-21   -1.244206e-08 -1.103443e-25
6.586460 1.186638e-05   1.344726e-13 8.261810e-37   1.268491e-08 -6.913439e-22   -1.254423e-08 -3.529402e-26
6.709571 1.185157e-05   7.555789e-13 4.921256e-37   1.282668e-08 8.257298e-23   -1.268697e-08 6.647284e-25
6.832683 1.182068e-05   1.959356e-12 1.130050e-36   1.274791e-08 3.378967e-22   -1.261014e-08 -1.439353e-25
6.955794 1.186094e-05   4.040770e-12 6.558849e-37   1.264347e-08 1.040062e-21   -1.250682e-08 -4.076560e-25
7.078906 1.192443e-05   8.092209e-12 4.745756e-37   1.265767e-08 1.171081e-21   -1.252357e-08 -1.161953e-25
7.202017 1.205419e-05   1.169269e-11 1.222956e-36   1.257995e-08 1.461734e-22   -1.244634e-08 1.598682e-25
7.325128 1.219063e-05   1.304679e-11 1.759143e-36   1.264777e-08 -5.214662e-24   -1.251220e-08 -1.604950e-27
7.448240 1.202494e-05   5.819574e-12 1.388491e-36   1.275585e-08 -6.177581e-22   -1.261707e-08 2.621033e-25
7.571351 1.184313e-05   2.782481e-12 2.442683e-36   1.265413e-08 -5.024110e-22   -1.251665e-08 -1.692980e-25
7.694463 1.177742e-05   2.677164e-12 2.312835e-36   1.255462e-08 6.150843e-22   -1.241859e-08 -8.927345e-27
7.817574 1.207306e-05   5.690833e-12 1.341020e-36   1.265008e-08 1.639529e-22   -1.251001e-08 -3.451009e-25
7.940685 1.211310e-05   1.074742e-11 1.606549e-36   1.253722e-08 2.299514e-22   -1.240124e-08 -4.482913e-25
8.063797 1.223862e-05   1.455421e-11 1.928324e-36   1.246866e-08 -1.099320e-22   -1.233343e-08 -5.497614e-26
8.186908 1.233823e-05   1.748799e-11 1.269779e-36   1.248865e-08 3.548774e-22   -1.235391e-08 -2.416740e-25
8.310020 1.216139e-05   1.556573e-11 3.509622e-37   1.245267e-08 6.449411e-22   -1.232033e-08 -5.738570e-25
8.433131 1.212332e-05   1.387284e-11 4.606205e-37   1.262943e-08 2.027299e-21   -1.249633e-08 -1.082054e-24
8.556242 1.205853e-05   8.724259e-12 1.440145e-37   1.273282e-08 1.007448e-21   -1.259613e-08 -5.927916e-25
8.679354 1.192722e-05   4.016688e-12 4.778174e-39   1.278811e-08 1.115839e-21   -1.264987e-08 -2.881555e-25
8.802465 1.220744e-05   6.890555e-12 5.664724e-38   1.296201e-08 2.268671e-21   -1.281988e-08 -9.672116e-25
8.925577 1.259694e-05   1.924640e-11 2.990351e-37   1.277408e-08 2.389090e-21   -1.263464e-08 -1.103765e-24
9.048688 1.216079e-05   8.916938e-12 5.235865e-37   1.261888e-08 1.709090e-21   -1.247991e-08 -5.327957e-25
9.171799 1.344342e-05   4.895986e-11 1.394729e-37   1.263147e-08 1.320679e-21   -1.249970e-08 -3.727660e-25
9.294911 1.274145e-05   2.700470e-11 1.949925e-37   1.274771e-08 7.884364e-22   -1.261237e-08 -7.767588e-26
9.418022 1.285124e-05   2.988498e-11 1.058752e-36   1.277240e-08 -4.693125e-22   -1.263713e-08 1.625852e-25
9.541134 1.404700e-05   6.015748e-11 7.310011e-37   1.298236e-08 4.058486e-23   -1.284520e-08 -5.715941e-25
9.664245 1.392697e-05   5.812049e-11 8.695853e-37   1.272340e-08 -6.795166e-22   -1.258756e-08 -1.179272e-24
9.787356 1.290378e-05   2.838220e-11 1.431081e-37   1.271177e-08 1.224167e-21   -1.257364e-08 -9.066188e-25
