# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -1.334147e-07     -1.334147e-07 0.000000e+00  1.492390e-08 0.000000e+00  -2.579143e-08 0.000000e+00
0.770508 1.864199e-07     1.864199e-07 0.000000e+00  -5.422057e-09 0.000000e+00  2.137051e-08 0.000000e+00
1.284179 -2.195604e-07     -2.195604e-07 0.000000e+00  4.986364e-08 0.000000e+00  8.859135e-09 0.000000e+00
1.797851 5.143311e-07     5.143311e-07 0.000000e+00  -1.667299e-08 0.000000e+00  -2.344739e-09 0.000000e+00
2.311523 -4.717188e-07     -4.717188e-07 0.000000e+00  -7.754801e-09 0.000000e+00  7.496957e-08 0.000000e+00
2.825194 -2.250950e-07     -2.250950e-07 0.000000e+00  -4.607808e-07 0.000000e+00  3.695958e-07 0.000000e+00
3.338866 4.286950e-08     4.286950e-08 0.000000e+00  -2.592726e-06 0.000000e+00  -1.471968e-06 0.000000e+00
3.852538 -4.087486e-06     -4.087486e-06 0.000000e+00  5.666893e-07 0.000000e+00  1.382552e-06 0.000000e+00
4.366210 1.804503e-06     1.804503e-06 0.000000e+00  -1.303383e-06 0.000000e+00  2.825262e-06 0.000000e+00
4.879881 1.924762e-06     1.924762e-06 0.000000e+00  -2.054346e-06 0.000000e+00  -1.132145e-06 0.000000e+00
5.393553 -4.638552e-07     -4.638552e-07 0.000000e+00  3.074441e-07 0.000000e+00  -1.988491e-06 0.000000e+00
5.907225 1.165914e-06     1.165914e-06 0.000000e+00  -4.882516e-07 0.000000e+00  -1.223969e-06 0.000000e+00
6.420896 7.257879e-07     7.257879e-07 0.000000e+00  2.678297e-06 0.000000e+00  2.917196e-06 0.000000e+00
6.934568 -7.260729e-07     -7.260729e-07 0.000000e+00  3.153168e-06 0.000000e+00  5.876745e-07 0.000000e+00
7.448240 1.726550e-06     1.726550e-06 0.000000e+00  -7.993037e-07 0.000000e+00  9.927098e-07 0.000000e+00
7.961912 1.732747e-07     1.732747e-07 0.000000e+00  -2.736899e-06 0.000000e+00  2.846098e-06 0.000000e+00
8.475583 -1.377937e-06     -1.377937e-06 0.000000e+00  -1.788269e-06 0.000000e+00  2.711460e-06 0.000000e+00
8.989255 -5.504941e-07     -5.504941e-07 0.000000e+00  6.937690e-07 0.000000e+00  -1.243961e-06 0.000000e+00
9.502927 -6.286014e-07     -6.286014e-07 0.000000e+00  1.417282e-06 0.000000e+00  -7.526306e-07 0.000000e+00
10.016598 1.120010e-06     1.120010e-06 0.000000e+00  -7.303508e-07 0.000000e+00  1.028128e-06 0.000000e+00
10.530270 -1.410422e-06     -1.410422e-06 0.000000e+00  -1.546843e-06 0.000000e+00  9.939337e-07 0.000000e+00
11.043942 1.002104e-06     1.002104e-06 0.000000e+00  -2.327843e-06 0.000000e+00  -1.190765e-06 0.000000e+00
11.557613 1.134636e-06     1.134636e-06 0.000000e+00  -1.030323e-06 0.000000e+00  -5.028893e-07 0.000000e+00
12.071285 -4.437074e-07     -4.437074e-07 0.000000e+00  -2.324612e-07 0.000000e+00  -1.517619e-07 0.000000e+00
12.584957 -5.644484e-07     -5.644484e-07 0.000000e+00  -8.254958e-08 0.000000e+00  8.098139e-08 0.000000e+00
13.098629 -3.605338e-07     -3.605338e-07 0.000000e+00  -6.996781e-08 0.000000e+00  -1.209959e-08 0.000000e+00
13.612300 1.448488e-07     1.448488e-07 0.000000e+00  4.194745e-08 0.000000e+00  -7.695191e-11 0.000000e+00
14.125972 -1.603356e-07     -1.603356e-07 0.000000e+00  -5.672785e-09 0.000000e+00  -4.214987e-09 0.000000e+00
14.639644 1.576708e-07     1.576708e-07 0.000000e+00  4.258342e-08 0.000000e+00  2.596244e-08 0.000000e+00
