# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     -4.447494e-08 -7.630270e-09 -5.467234e-08     -3.429293e-08 0.000000e+00 -4.971819e-08     -1.018201e-08 -7.630270e-09 -4.954148e-09
1.596051     4.748090e-08 1.003218e-07 -3.439796e-08     8.566679e-08 0.000000e+00 4.943108e-08     -3.818589e-08 1.003218e-07 -8.382904e-08
2.660086     -1.569380e-06 6.035674e-08 7.336651e-07     -1.325340e-06 0.000000e+00 4.079030e-07     -2.440397e-07 6.035674e-08 3.257620e-07
3.724120     2.884690e-06 6.075332e-06 9.318549e-06     2.540959e-06 0.000000e+00 3.963271e-06     3.437313e-07 6.075332e-06 5.355278e-06
4.788154     1.050808e-05 -2.404582e-08 4.970248e-06     5.055479e-06 0.000000e+00 -5.450962e-07     5.452599e-06 -2.404582e-08 5.515344e-06
5.852189     -1.401430e-05 1.101684e-05 -5.835763e-06     -8.871840e-06 0.000000e+00 1.999966e-06     -5.142462e-06 1.101684e-05 -7.835729e-06
6.916223     -1.230455e-05 2.118959e-06 -3.144828e-06     -4.182277e-06 0.000000e+00 2.114920e-06     -8.122275e-06 2.118959e-06 -5.259748e-06
7.980257     6.520619e-06 2.870235e-06 1.101839e-06     1.625191e-05 0.000000e+00 5.706619e-06     -9.731292e-06 2.870235e-06 -4.604780e-06
9.044291     -1.570374e-05 6.868122e-06 -7.199846e-06     -3.509129e-06 0.000000e+00 -1.491316e-06     -1.219461e-05 6.868122e-06 -5.708529e-06
10.108326     -5.916039e-06 -3.827216e-06 -1.446242e-05     -7.425749e-06 0.000000e+00 -7.163772e-06     1.509710e-06 -3.827216e-06 -7.298643e-06
11.172360     5.760623e-06 2.193563e-06 9.604871e-07     4.427929e-06 0.000000e+00 1.088637e-06     1.332694e-06 2.193563e-06 -1.281497e-07
12.236394     1.885700e-07 3.252204e-08 2.222235e-07     2.607919e-07 0.000000e+00 -1.482994e-08     -7.222191e-08 3.252204e-08 2.370534e-07
13.300429     -2.723053e-07 -3.414517e-08 -4.236588e-08     -2.017025e-07 0.000000e+00 1.491774e-08     -7.060280e-08 -3.414517e-08 -5.728361e-08
14.364463     8.197170e-08 -1.561592e-07 9.226665e-08     -2.103722e-08 0.000000e+00 1.317320e-10     1.030089e-07 -1.561592e-07 9.213492e-08
