# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.094014 6.026105e-05   4.623491e-11 3.017269e-37   1.755633e-08 -5.429838e-23   -1.397117e-08 3.639873e-25
6.217126 5.939026e-05   2.370611e-11 1.897994e-36   1.699298e-08 1.296006e-22   -1.348948e-08 -4.277625e-25
6.340237 5.932641e-05   5.554858e-11 7.480764e-37   1.681542e-08 1.624300e-22   -1.335134e-08 -6.527946e-25
6.463349 5.916529e-05   5.763529e-11 9.699056e-37   1.678771e-08 4.197729e-22   -1.334481e-08 8.204155e-26
6.586460 5.924501e-05   1.568311e-11 6.656186e-37   1.711092e-08 -1.208326e-22   -1.361664e-08 -7.724525e-26
6.709571 5.952976e-05   2.145899e-11 2.337687e-37   1.724281e-08 -5.544570e-22   -1.372048e-08 3.174795e-25
6.832683 5.962304e-05   4.794084e-12 9.176596e-37   1.741271e-08 -6.836942e-22   -1.386260e-08 3.382750e-25
6.955794 5.992889e-05   6.342297e-12 2.187912e-36   1.761284e-08 -8.268789e-23   -1.402771e-08 -3.056254e-25
7.078906 5.969934e-05   1.973497e-11 2.710784e-36   1.734677e-08 -3.099330e-22   -1.380250e-08 -8.793786e-25
7.202017 6.011154e-05   5.073168e-11 2.732158e-36   1.732427e-08 -1.301361e-22   -1.376161e-08 2.569928e-25
7.325128 5.989366e-05   1.900781e-11 2.007673e-36   1.735037e-08 7.222681e-22   -1.378213e-08 2.283903e-26
7.448240 6.029745e-05   2.211949e-11 2.985828e-36   1.763777e-08 -5.578047e-22   -1.402410e-08 7.175989e-26
7.571351 6.053901e-05   1.582982e-11 3.039630e-36   1.780009e-08 5.344845e-22   -1.415095e-08 -3.797752e-25
7.694463 6.092836e-05   3.267898e-12 1.204803e-36   1.812311e-08 -3.458446e-22   -1.441411e-08 -9.478181e-25
7.817574 6.127840e-05   6.297983e-12 7.557180e-37   1.835142e-08 7.198365e-22   -1.460267e-08 -4.728237e-25
7.940685 6.126005e-05   9.624279e-12 1.774884e-36   1.824582e-08 9.787350e-22   -1.450265e-08 -2.709138e-25
