# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     1.472866e-08 1.265721e-09 -3.840212e-10     1.404382e-08 0.000000e+00 -1.262753e-09     6.848354e-10 1.265721e-09 8.787313e-10
1.596051     7.297034e-08 1.951689e-11 -3.832380e-09     7.298127e-08 0.000000e+00 -3.850951e-09     -1.093569e-11 1.951689e-11 1.857131e-11
2.660086     7.495892e-08 -9.038880e-09 -1.875037e-07     6.271246e-08 0.000000e+00 -1.384972e-07     1.224647e-08 -9.038880e-09 -4.900648e-08
3.724120     -3.670300e-06 2.932229e-06 3.110336e-07     -4.814224e-07 0.000000e+00 1.720133e-07     -3.188878e-06 2.932229e-06 1.390203e-07
4.788154     2.378293e-06 1.881130e-07 8.336787e-07     8.617676e-08 0.000000e+00 -4.410278e-07     2.292116e-06 1.881130e-07 1.274706e-06
5.852189     1.103420e-06 1.171582e-06 -5.932046e-07     3.877948e-07 0.000000e+00 -3.186474e-07     7.156256e-07 1.171582e-06 -2.745572e-07
6.916223     3.538198e-07 -1.719638e-06 1.086282e-07     -1.044788e-07 0.000000e+00 4.289554e-07     4.582986e-07 -1.719638e-06 -3.203272e-07
7.980257     -2.186119e-07 -1.357774e-06 -3.557895e-06     -9.157806e-09 0.000000e+00 -5.369823e-07     -2.094541e-07 -1.357774e-06 -3.020913e-06
9.044291     6.777158e-07 -2.316787e-06 -1.393144e-06     -1.351084e-07 0.000000e+00 9.398044e-08     8.128242e-07 -2.316787e-06 -1.487124e-06
10.108326     7.270916e-07 4.760792e-07 1.054745e-06     2.260334e-07 0.000000e+00 -1.159537e-07     5.010582e-07 4.760792e-07 1.170699e-06
11.172360     -1.824860e-07 -2.064930e-06 -1.960243e-06     -3.387838e-09 0.000000e+00 -4.183835e-07     -1.790981e-07 -2.064930e-06 -1.541860e-06
12.236394     2.173906e-07 4.916725e-08 -1.766903e-08     -1.057611e-07 0.000000e+00 -5.627432e-08     3.231517e-07 4.916725e-08 3.860529e-08
13.300429     -6.515602e-08 5.725926e-10 -6.020841e-09     -6.597845e-08 0.000000e+00 -4.304824e-09     8.224262e-10 5.725926e-10 -1.716017e-09
14.364463     -9.637230e-09 1.595110e-10 5.384912e-11     -9.654341e-09 0.000000e+00 -4.141445e-10     1.711173e-11 1.595110e-10 4.679936e-10
