# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 nan    6.740033e-07 nan 1.705062e-17
1.596051 1.130523e-06    1.130524e-06 1.036260e-10 -1.734129e-18
2.660086 1.536353e-05    1.535507e-05 4.949737e-07 1.512807e-14
3.724120 3.790570e-05    2.913397e-05 2.418540e-05 3.120853e-12
4.788154 4.911406e-05    3.820882e-05 3.087082e-05 -7.306150e-13
5.852189 5.134945e-05    4.055371e-05 3.148702e-05 7.304255e-13
6.916223 5.120873e-05    4.061092e-05 3.120030e-05 -3.715636e-13
7.980257 5.123636e-05    4.062401e-05 3.117055e-05 3.251183e-12
9.044291 5.130101e-05    4.060542e-05 3.136070e-05 -4.998121e-13
10.108326 4.963884e-05    3.837358e-05 3.148854e-05 -4.511928e-14
11.172360 3.938629e-05    2.928355e-05 2.631464e-05 1.293043e-12
12.236394 1.558121e-05    1.557154e-05 6.116567e-07 -7.280457e-14
13.300429 nan    9.325293e-07 nan -9.385940e-17
14.364463 nan    8.181977e-07 nan -7.208121e-19
