# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 6.762580e-07    6.740033e-07 5.502124e-08 1.705062e-17
1.596051 1.130545e-06    1.130524e-06 6.968616e-09 -1.734129e-18
2.660086 1.577508e-05    1.535507e-05 3.613862e-06 1.512807e-14
3.724120 1.045017e-04    2.913397e-05 1.003429e-04 3.120853e-12
4.788154 1.364233e-04    3.820882e-05 1.309662e-04 -7.306150e-13
5.852189 1.383442e-04    4.055371e-05 1.322640e-04 7.304255e-13
6.916223 1.384525e-04    4.061092e-05 1.323639e-04 -3.715636e-13
7.980257 1.376582e-04    4.062401e-05 1.315150e-04 3.251183e-12
9.044291 1.383272e-04    4.060542e-05 1.322351e-04 -4.998121e-13
10.108326 1.382528e-04    3.837358e-05 1.328208e-04 -4.511928e-14
11.172360 1.114456e-04    2.928355e-05 1.075235e-04 1.293043e-12
12.236394 1.603156e-05    1.557154e-05 3.822405e-06 -7.280457e-14
13.300429 9.330555e-07    9.325293e-07 3.279385e-08 -9.385940e-17
14.364463 8.184477e-07    8.181977e-07 2.024869e-08 -7.208121e-19
