# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.217126 3.075401e-05   2.171227e-12 5.208176e-37   1.227260e-08 -2.420959e-21   -1.132896e-08 -1.069995e-25
6.340237 3.070978e-05   1.277298e-12 1.124329e-36   1.237259e-08 -1.041576e-21   -1.143078e-08 -7.083285e-25
6.463349 3.108957e-05   6.059077e-13 6.190419e-37   1.257741e-08 -1.613171e-21   -1.161146e-08 -2.641408e-26
6.586460 3.143522e-05   1.344726e-13 8.261810e-37   1.268491e-08 -6.913439e-22   -1.169687e-08 3.051916e-25
6.709571 3.144575e-05   7.555789e-13 4.921256e-37   1.282668e-08 8.257298e-23   -1.183860e-08 4.569051e-26
6.832683 3.127373e-05   1.959356e-12 1.130050e-36   1.274791e-08 3.378967e-22   -1.177182e-08 -3.162548e-25
6.955794 3.116552e-05   4.040770e-12 6.558849e-37   1.264347e-08 1.040062e-21   -1.167622e-08 -7.782303e-25
7.078906 3.112021e-05   8.092209e-12 4.745756e-37   1.265767e-08 1.171081e-21   -1.169730e-08 -6.948810e-25
7.202017 3.110452e-05   1.169269e-11 1.222956e-36   1.257995e-08 1.461734e-22   -1.162415e-08 6.823147e-26
7.325128 3.134127e-05   1.304679e-11 1.759143e-36   1.264777e-08 -5.214662e-24   -1.167854e-08 -9.224326e-27
7.448240 3.150630e-05   5.819574e-12 1.388491e-36   1.275585e-08 -6.177581e-22   -1.176903e-08 1.458068e-25
7.571351 3.123097e-05   2.782481e-12 2.442683e-36   1.265413e-08 -5.024110e-22   -1.168154e-08 1.023367e-25
7.694463 3.109638e-05   2.677164e-12 2.312835e-36   1.255462e-08 6.150843e-22   -1.159031e-08 -2.056187e-25
7.817574 3.146459e-05   5.690833e-12 1.341020e-36   1.265008e-08 1.639529e-22   -1.166575e-08 -9.578325e-26
7.940685 3.117928e-05   1.074742e-11 1.606549e-36   1.253722e-08 2.299514e-22   -1.157582e-08 7.281451e-25
8.063797 3.115211e-05   1.455421e-11 1.928324e-36   1.246866e-08 -1.099320e-22   -1.151276e-08 2.397961e-25
8.186908 3.117235e-05   1.748799e-11 1.269779e-36   1.248865e-08 3.548774e-22   -1.153443e-08 -1.497520e-26
