# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.320855e-04    1.141425e-04 6.628920e-05 2.381669e-11
1.596051 1.321015e-04    1.140646e-04 6.663502e-05 -1.468660e-13
2.660086 3.807915e-04    3.726232e-04 6.592234e-05 1.808356e-09
3.724120 7.580215e-04    7.186603e-04 9.030307e-05 4.996939e-08
4.788154 3.036638e-04    2.872404e-04 9.292791e-05 1.069065e-09
5.852189 1.829082e-04    1.581693e-04 9.174162e-05 2.136459e-11
6.916223 1.825708e-04    1.586931e-04 8.980799e-05 8.310448e-11
7.980257 1.844939e-04    1.583624e-04 9.433469e-05 6.029557e-11
9.044291 1.827238e-04    1.573436e-04 9.198983e-05 1.688323e-10
10.108326 3.017127e-04    2.870279e-04 9.099168e-05 3.660635e-10
11.172360 7.492223e-04    7.200286e-04 8.545614e-05 3.559006e-08
12.236394 3.839396e-04    3.705679e-04 6.708734e-05 5.588380e-09
13.300429 1.322655e-04    1.142637e-04 6.665008e-05 -4.270620e-12
14.364463 1.327546e-04    1.143945e-04 6.742530e-05 -8.473067e-12
