# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.094014 8.278591e-05   1.966521e-12 1.269477e-37   6.919070e-08 -1.159066e-20   -6.233916e-08 7.585055e-25
6.217126 8.271572e-05   2.171227e-12 5.208176e-37   6.917579e-08 -6.281335e-21   -6.233607e-08 1.277452e-24
6.340237 8.285097e-05   1.277298e-12 1.124329e-36   6.940669e-08 -4.326219e-21   -6.254369e-08 9.591582e-25
6.463349 8.325272e-05   6.059077e-13 6.190419e-37   6.999889e-08 -3.664906e-21   -6.306848e-08 8.751556e-25
6.586460 8.364395e-05   1.344726e-13 8.261810e-37   7.053286e-08 -3.959244e-21   -6.353668e-08 2.414421e-24
6.709571 8.368147e-05   7.555789e-13 4.921256e-37   7.059093e-08 -6.741679e-21   -6.358909e-08 1.647624e-24
6.832683 8.343784e-05   1.959356e-12 1.130050e-36   7.036690e-08 -2.288312e-21   -6.340699e-08 3.728742e-25
6.955794 8.323596e-05   4.040770e-12 6.558849e-37   7.009989e-08 2.470972e-21   -6.317571e-08 -1.692972e-24
7.078906 8.311505e-05   8.092209e-12 4.745756e-37   6.984863e-08 5.417475e-21   -6.294861e-08 -2.332245e-24
7.202017 8.320789e-05   1.169269e-11 1.222956e-36   6.994891e-08 -3.634767e-21   -6.303705e-08 8.740096e-25
7.325128 8.349125e-05   1.304679e-11 1.759143e-36   7.026319e-08 7.933034e-22   -6.330545e-08 2.860666e-24
7.448240 8.361895e-05   5.819574e-12 1.388491e-36   7.033905e-08 -1.756105e-21   -6.335274e-08 -1.310227e-24
7.571351 8.356900e-05   2.782481e-12 2.442683e-36   7.027212e-08 6.065339e-22   -6.329113e-08 8.492059e-25
7.694463 8.334276e-05   2.677164e-12 2.312835e-36   7.005493e-08 5.800920e-22   -6.311159e-08 -7.487291e-25
7.817574 8.316893e-05   5.690833e-12 1.341020e-36   6.970947e-08 4.243666e-21   -6.279810e-08 4.787156e-25
7.940685 8.294883e-05   1.074742e-11 1.606549e-36   6.936463e-08 3.539988e-21   -6.249487e-08 5.940639e-25
8.063797 8.275923e-05   1.455421e-11 1.928324e-36   6.919818e-08 -3.476625e-21   -6.236365e-08 3.175359e-24
8.186908 8.283433e-05   1.748799e-11 1.269779e-36   6.934448e-08 4.306578e-21   -6.250045e-08 -1.623351e-24
8.310020 8.301151e-05   1.556573e-11 3.509622e-37   6.965401e-08 -2.086099e-22   -6.277866e-08 7.557216e-26
8.433131 8.325329e-05   1.387284e-11 4.606205e-37   7.007131e-08 1.315919e-21   -6.315407e-08 -3.950580e-24
8.556242 8.371551e-05   8.724259e-12 1.440145e-37   7.069621e-08 8.977783e-21   -6.369664e-08 -6.981550e-25
8.679354 8.399850e-05   4.016688e-12 4.778174e-39   7.107650e-08 3.826413e-21   -6.402477e-08 1.328028e-24
8.802465 8.410791e-05   6.890555e-12 5.664724e-38   7.110372e-08 4.953517e-21   -6.403647e-08 -5.871037e-25
8.925577 8.407702e-05   1.924640e-11 2.990351e-37   7.093378e-08 8.352881e-21   -6.388408e-08 -1.911125e-24
9.048688 8.374714e-05   8.916938e-12 5.235865e-37   7.052474e-08 4.508247e-21   -6.352007e-08 -1.951970e-24
9.171799 8.359713e-05   4.895986e-11 1.394729e-37   7.017902e-08 5.278612e-21   -6.323950e-08 -1.214797e-24
9.294911 8.355693e-05   2.700470e-11 1.949925e-37   7.052476e-08 5.301089e-21   -6.357000e-08 -1.463233e-24
9.418022 8.373515e-05   2.988498e-11 1.058752e-36   7.080178e-08 -7.900199e-21   -6.382009e-08 4.764705e-24
9.541134 8.406926e-05   6.015748e-11 7.310011e-37   7.087942e-08 1.423025e-21   -6.387194e-08 1.184503e-24
9.664245 8.395716e-05   5.812049e-11 8.695853e-37   7.079936e-08 -1.608519e-21   -6.380867e-08 2.118979e-24
9.787356 8.375728e-05   2.838220e-11 1.431081e-37   7.059610e-08 1.672020e-21   -6.360921e-08 -4.597666e-24
9.910468 8.356968e-05   9.414028e-12 2.994044e-37   7.035217e-08 1.160061e-20   -6.337770e-08 -1.528817e-24
10.033579 8.370622e-05   6.691518e-12 7.544402e-37   7.059519e-08 2.020257e-21   -6.359515e-08 5.035165e-25
10.156691 8.397914e-05   4.121840e-12 2.383049e-37   7.098574e-08 1.048504e-22   -6.393736e-08 3.540560e-24
10.279802 8.441180e-05   2.546791e-11 6.229859e-38   7.130372e-08 6.788601e-21   -6.420383e-08 -2.448539e-24
10.402913 8.432847e-05   1.717364e-11 5.311652e-37   7.126902e-08 3.284544e-21   -6.417490e-08 -4.457491e-24
10.526025 8.406229e-05   2.355755e-11 5.370980e-37   7.075347e-08 9.034234e-21   -6.371056e-08 -2.703020e-24
10.649136 8.334499e-05   4.280156e-11 6.644642e-37   6.949296e-08 5.194604e-21   -6.258937e-08 -4.944094e-24
10.772248 8.177722e-05   2.899942e-12 6.738487e-37   6.734668e-08 -5.214942e-21   -6.066207e-08 4.799920e-24
10.895359 7.997775e-05   3.981384e-11 3.773136e-37   6.372301e-08 2.622699e-21   -5.736639e-08 2.458785e-24
11.018470 7.646276e-05   5.546544e-11 6.926957e-37   5.762268e-08 -3.440125e-21   -5.183159e-08 -1.018174e-24
11.141582 7.018032e-05   1.033355e-11 5.233902e-37   4.865266e-08 1.759411e-21   -4.373772e-08 -5.692112e-24
11.264693 6.142755e-05   1.898347e-11 4.419433e-37   3.730841e-08 1.107934e-20   -3.355405e-08 -4.875637e-24
11.387805 5.047053e-05   2.273305e-11 9.774747e-38   2.541351e-08 2.424024e-21   -2.288897e-08 -3.499311e-24
11.510916 3.822604e-05   2.284065e-12 1.968275e-37   1.515503e-08 5.611572e-21   -1.369608e-08 3.573558e-25
11.634027 2.702728e-05   2.980403e-12 3.705875e-37   7.962470e-09 5.537372e-21   -7.234977e-09 -1.210247e-24
11.757139 1.771184e-05   3.803783e-12 1.715960e-37   3.652814e-09 2.409037e-21   -3.342908e-09 -2.810994e-24
11.880250 1.054934e-05   1.402596e-13 1.883320e-37   1.435033e-09 8.601305e-21   -1.323884e-09 -3.498147e-24
12.003362 5.930259e-06   6.131455e-13 9.359518e-37   5.053521e-10 8.297231e-21   -4.707973e-10 -6.315636e-24
12.126473 3.145363e-06   5.746352e-13 3.842627e-37   1.671401e-10 -1.386081e-21   -1.578214e-10 1.449091e-24
12.249584 1.492537e-06   7.784295e-14 9.710632e-37   5.023245e-11 1.329116e-21   -4.808263e-11 2.105355e-24
12.372696 5.916131e-07   2.016120e-15 1.215233e-36   1.286294e-11 -5.070891e-21   -1.251495e-11 2.420051e-24
12.495807 2.151987e-07   5.478326e-15 9.286461e-37   2.672865e-12 -1.158511e-21   -2.632033e-12 4.038828e-26
12.618919 1.070378e-07   1.398281e-15 4.392316e-37   4.954128e-13 1.015136e-20   -4.853540e-13 -1.127921e-24
12.742030 5.671341e-08   1.186462e-16 4.332445e-37   1.194836e-13 2.826674e-21   -1.163858e-13 -3.362073e-24
12.865141 2.892719e-08   5.435906e-18 1.271227e-37   4.278101e-14 7.114639e-21   -4.194966e-14 8.722104e-25
12.988253 1.655057e-08   6.315750e-19 8.125821e-37   1.880347e-14 4.241620e-21   -1.853018e-14 7.736735e-25
13.111364 1.088268e-08   1.035583e-18 2.391677e-37   1.053061e-14 2.457649e-21   -1.041322e-14 -5.757875e-25
13.234476 8.004785e-09   3.010348e-18 9.441039e-38   8.568556e-15 2.384742e-21   -8.507490e-15 -1.093281e-24
13.357587 5.019497e-09   5.038142e-18 5.850762e-38   9.847887e-15 6.232975e-21   -9.827730e-15 -3.760806e-24
13.480698 4.324531e-09   3.988569e-18 2.478468e-37   1.180443e-14 6.039593e-21   -1.178972e-14 -1.027210e-24
13.603810 7.591808e-09   1.694517e-18 6.168092e-37   1.179016e-14 5.085800e-21   -1.173422e-14 -8.588064e-25
13.726921 8.951701e-09   1.187630e-18 4.240220e-37   1.025847e-14 -1.431612e-21   -1.017953e-14 2.533362e-24
13.850033 8.782038e-09   9.419089e-19 1.185537e-37   9.198917e-15 -3.730527e-21   -9.122735e-15 3.131144e-24
13.973144 8.496124e-09   1.309839e-18 7.269992e-37   8.165212e-15 1.055138e-20   -8.094338e-15 -1.112804e-24
14.096255 7.551900e-09   1.570178e-18 6.401645e-37   6.060065e-15 3.110783e-21   -6.004604e-15 -3.625089e-24
14.219367 6.503347e-09   6.606282e-19 1.151789e-37   3.865366e-15 1.031683e-20   -3.823733e-15 4.264271e-25
14.342478 6.610752e-09   2.175713e-19 5.711595e-37   3.052311e-15 4.416577e-21   -3.008826e-15 -1.676966e-24
14.465590 8.623603e-09   5.773348e-19 2.541518e-38   4.488852e-15 3.202094e-21   -4.415063e-15 -8.621449e-25
14.588701 1.279844e-08   8.916357e-19 1.913047e-37   9.024086e-15 1.352417e-21   -8.861177e-15 -1.215253e-24
14.711813 1.798006e-08   1.626030e-18 2.042256e-37   1.742841e-14 -4.002558e-22   -1.710676e-14 -2.298172e-24
14.834924 2.403724e-08   5.959255e-18 4.000531e-37   3.219179e-14 4.169510e-21   -3.161996e-14 -2.818541e-24
