# rcut cp cp_e kappa kappa_e
4.0 56.183 0.50142 39.056 0.37503
5.0 52.611 0.42919 37.397 0.30871
6.0 51.255 0.45524 36.722 0.33561
7.0 50.410 0.42297 36.089 0.30348
#8.0 48.407 0.40079 34.616 0.29837
#8.0 48.407 0.40079 34.616 0.29837
#8.0 48.407 0.40079 34.616 0.29837
8.0 48.542 0.39097 34.807 0.29173
9.0 49.328 0.39316 35.288 0.29197
10.0 49.251 0.43798 35.345 0.33177
11.0 49.556 0.42075 35.470 0.29842
