# rcut cp cp_e kappa kappa_e
#3.0 68.373 0.71199 40.521 0.45039
4.0 57.729 0.54277 40.171 0.38885
5.0 52.456 0.48005 37.395 0.35267
6.0 51.139 0.47018 36.613 0.34638
7.0 50.036 0.40975 35.953 0.30545
#8.0 50.302 0.47345 36.156 0.35447
8.0 49.433 0.45763 35.563 0.34398
#9.0 49.953 0.40620 36.001 0.30145
9.0 49.384 0.44260 35.469 0.33502
10.0 49.379 0.43661 35.538 0.33527
