# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.217126 3.101195e-05   2.370611e-11 1.897994e-36   1.223796e-08 -1.502683e-22   -1.129992e-08 -7.221819e-25
6.340237 3.131362e-05   5.554858e-11 7.480764e-37   1.210823e-08 7.577096e-22   -1.118324e-08 -1.726256e-25
6.463349 3.103766e-05   5.763529e-11 9.699056e-37   1.208258e-08 3.221130e-22   -1.117688e-08 1.746221e-25
6.586460 3.081805e-05   1.568311e-11 6.656186e-37   1.236373e-08 -7.267839e-22   -1.142966e-08 1.495847e-25
6.709571 3.098694e-05   2.145899e-11 2.337687e-37   1.245454e-08 -8.247997e-22   -1.151581e-08 3.328557e-25
6.832683 3.079807e-05   4.794084e-12 9.176596e-37   1.258330e-08 4.052957e-22   -1.163957e-08 3.776903e-26
6.955794 3.121086e-05   6.342297e-12 2.187912e-36   1.276414e-08 1.266825e-21   -1.179636e-08 -2.920190e-25
7.078906 3.103821e-05   1.973497e-11 2.710784e-36   1.252958e-08 1.537755e-22   -1.158595e-08 -5.170766e-25
7.202017 3.192914e-05   5.073168e-11 2.732158e-36   1.252105e-08 -3.878017e-22   -1.155231e-08 1.656146e-25
7.325128 3.144559e-05   1.900781e-11 2.007673e-36   1.253845e-08 -3.940729e-22   -1.156863e-08 -1.456262e-25
7.448240 3.184069e-05   2.211949e-11 2.985828e-36   1.278281e-08 -4.975879e-22   -1.179110e-08 1.636277e-26
7.571351 3.185486e-05   1.582982e-11 3.039630e-36   1.289371e-08 -5.985976e-24   -1.189481e-08 -3.652068e-25
7.694463 3.206199e-05   3.267898e-12 1.204803e-36   1.315400e-08 -4.346645e-23   -1.212930e-08 -4.048394e-25
7.817574 3.234872e-05   6.297983e-12 7.557180e-37   1.333790e-08 4.235664e-22   -1.229776e-08 -2.167192e-25
7.940685 3.234563e-05   9.624279e-12 1.774884e-36   1.323561e-08 7.403593e-23   -1.219900e-08 9.340830e-26
8.063797 3.185505e-05   7.024370e-12 7.233100e-37   1.310620e-08 -4.089657e-22   -1.209849e-08 5.481717e-26
8.186908 3.190913e-05   1.559632e-11 6.550189e-37   1.301182e-08 2.568490e-22   -1.200923e-08 -3.453782e-25
8.310020 3.188075e-05   3.083984e-11 7.939913e-37   1.283868e-08 7.600863e-23   -1.185314e-08 2.478475e-25
8.433131 3.147979e-05   2.133025e-11 2.049304e-37   1.275952e-08 5.310905e-22   -1.178988e-08 -3.942708e-25
8.556242 3.088851e-05   1.726263e-11 1.427530e-36   1.245762e-08 6.033241e-22   -1.152078e-08 -2.362055e-25
8.679354 3.134174e-05   4.039724e-11 9.118819e-37   1.236506e-08 3.253289e-22   -1.142315e-08 1.177853e-25
8.802465 3.162149e-05   6.010853e-11 3.248436e-37   1.235877e-08 3.829704e-22   -1.141896e-08 6.294370e-25
8.925577 3.147510e-05   5.319568e-11 1.291612e-37   1.228772e-08 5.341982e-22   -1.135023e-08 1.972142e-25
9.048688 3.180433e-05   4.896711e-11 1.714355e-37   1.252798e-08 -3.084817e-22   -1.156543e-08 3.346581e-25
9.171799 3.202251e-05   4.834150e-11 2.711787e-37   1.276100e-08 5.293197e-22   -1.178390e-08 2.405050e-25
9.294911 3.172636e-05   3.735009e-11 1.028446e-37   1.265988e-08 6.208165e-22   -1.169067e-08 8.110419e-25
9.418022 3.140640e-05   2.770224e-11 2.181720e-37   1.258856e-08 1.707849e-22   -1.162990e-08 1.152314e-24
9.541134 3.111553e-05   1.374287e-11 3.575634e-37   1.249776e-08 7.767459e-23   -1.154333e-08 6.132643e-25
9.664245 3.069251e-05   1.967439e-12 1.324954e-36   1.215809e-08 6.324914e-22   -1.121803e-08 1.771050e-24
9.787356 3.114739e-05   8.032162e-12 8.234839e-38   1.239155e-08 5.147693e-22   -1.142943e-08 6.140304e-25
9.910468 3.112684e-05   2.532580e-12 1.205370e-37   1.253903e-08 7.727893e-22   -1.157268e-08 2.240530e-25
10.033579 3.157724e-05   2.044152e-11 1.266667e-37   1.260176e-08 7.848681e-22   -1.162508e-08 3.664434e-25
10.156691 3.218453e-05   4.451487e-11 1.966129e-37   1.286139e-08 1.026913e-21   -1.187006e-08 1.011622e-24
10.279802 3.257750e-05   2.062949e-11 1.065439e-36   1.319990e-08 1.752726e-21   -1.215924e-08 3.044910e-25
10.402913 3.320940e-05   8.541016e-11 3.217251e-37   1.312445e-08 1.157479e-21   -1.210700e-08 5.674633e-25
10.526025 3.299775e-05   5.476648e-11 6.587606e-37   1.325730e-08 1.354035e-21   -1.222322e-08 1.931912e-25
10.649136 3.196175e-05   2.392772e-11 1.557493e-36   1.285288e-08 1.135674e-21   -1.185526e-08 1.157517e-24
10.772248 3.200653e-05   7.315227e-11 1.316560e-36   1.220673e-08 5.939243e-22   -1.125546e-08 1.027284e-24
10.895359 3.088095e-05   2.508424e-11 2.668123e-36   1.161062e-08 -3.979705e-22   -1.068207e-08 8.178023e-25
11.018470 2.859096e-05   2.865853e-11 1.140118e-36   1.000340e-08 3.292900e-22   -9.214620e-09 1.632001e-24
11.141582 2.673426e-05   4.511106e-11 2.218318e-36   8.408613e-09 1.239329e-22   -7.739004e-09 1.167699e-24
11.264693 2.233573e-05   4.181226e-12 1.803209e-36   6.394920e-09 8.744208e-22   -5.900216e-09 -2.607617e-25
11.387805 1.822282e-05   7.342093e-12 1.216148e-36   4.280426e-09 1.971845e-21   -3.955697e-09 3.744293e-25
11.510916 1.391502e-05   6.203574e-12 1.007635e-36   2.600193e-09 1.697043e-21   -2.412769e-09 1.846162e-25
11.634027 9.889824e-06   2.403494e-13 3.891614e-37   1.409662e-09 8.841816e-22   -1.312093e-09 5.930938e-25
11.757139 6.452699e-06   4.233736e-13 5.444247e-37   6.498616e-10 1.294925e-23   -6.086477e-10 1.166422e-24
11.880250 4.041674e-06   7.501437e-14 3.961172e-37   2.758605e-10 1.352531e-21   -2.596004e-10 1.511376e-25
12.003362 2.698191e-06   3.121349e-13 8.684641e-37   1.223941e-10 2.379550e-21   -1.154260e-10 9.316072e-25
12.126473 1.175582e-06   6.774119e-14 6.477037e-37   4.055809e-11 2.424807e-21   -3.924384e-11 1.116682e-24
12.249584 5.962697e-07   1.265793e-14 3.254885e-37   1.200635e-11 2.031363e-22   -1.166347e-11 7.796908e-25
12.372696 2.928272e-07   6.765246e-15 4.292269e-37   3.841853e-12 -4.151218e-22   -3.762870e-12 1.895639e-24
12.495807 1.165986e-07   3.862212e-15 3.999648e-37   9.494931e-13 -7.217818e-22   -9.397600e-13 1.181971e-24
12.618919 1.543824e-07   6.161370e-16 4.931414e-37   2.759738e-13 1.326145e-22   -2.527560e-13 2.755621e-25
12.742030 1.043865e-07   5.864561e-17 1.486429e-38   1.132050e-13 1.594159e-21   -1.023671e-13 3.196897e-25
12.865141 3.079030e-08   4.867980e-17 1.673663e-37   2.498648e-14 1.862539e-21   -2.408712e-14 2.987780e-25
12.988253 -nan   1.491035e-17 2.396373e-37   2.433103e-15 5.010163e-23   -2.486781e-15 9.612423e-25
13.111364 1.685460e-08   1.662961e-18 1.028814e-37   1.347120e-15 -5.502171e-22   -1.064705e-15 3.270996e-25
13.234476 1.505766e-08   1.011791e-18 3.095700e-37   1.672490e-15 1.902572e-22   -1.446768e-15 -1.979918e-25
13.357587 7.281151e-09   3.190932e-18 5.955625e-37   1.044730e-15 1.343405e-21   -9.949056e-16 6.915770e-26
13.480698 -nan   2.973998e-18 2.034836e-37   6.111873e-16 1.670696e-21   -6.227799e-16 1.106008e-25
13.603810 -nan   1.424206e-18 2.127055e-37   7.431911e-16 -2.172387e-22   -7.600529e-16 2.097870e-25
13.726921 2.049674e-09   8.414193e-19 1.073419e-37   1.101770e-15 -1.065874e-21   -1.098410e-15 1.001813e-24
13.850033 5.314027e-09   1.360589e-18 2.136203e-37   1.283687e-15 -2.348655e-22   -1.256809e-15 4.287674e-25
13.973144 5.170086e-09   1.702451e-18 1.448143e-36   1.073683e-15 8.668268e-22   -1.048656e-15 -4.901600e-25
14.096255 1.991174e-09   1.527601e-18 5.952985e-37   7.621638e-16 1.113485e-21   -7.597266e-16 -1.755301e-25
14.219367 -nan   1.075239e-18 1.555144e-36   7.348050e-16 6.632203e-22   -7.547999e-16 -1.491092e-25
14.342478 -nan   6.384666e-19 8.223921e-37   1.686538e-15 9.737921e-23   -1.725746e-15 1.985307e-25
14.465590 -nan   2.817470e-19 3.524508e-36   7.145977e-15 -2.452272e-22   -7.195515e-15 3.605494e-27
14.588701 -nan   9.766008e-19 1.918369e-36   2.123192e-14 -3.264436e-22   -2.132040e-14 -2.491718e-25
14.711813 -nan   4.438788e-18 2.824747e-36   3.939040e-14 4.299733e-22   -3.967690e-14 -2.291073e-25
14.834924 -nan   1.090600e-17 1.607161e-36   4.736267e-14 8.883320e-22   -4.802201e-14 -4.484426e-25
