# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
6.217126 8.305176e-05   2.370611e-11 1.897994e-36   6.946153e-08 -9.041355e-22   -6.258764e-08 8.896207e-25
6.340237 8.284167e-05   5.554858e-11 7.480764e-37   6.878384e-08 -2.518397e-21   -6.197664e-08 5.074689e-25
6.463349 8.250597e-05   5.763529e-11 9.699056e-37   6.827625e-08 2.978344e-21   -6.152665e-08 -1.472085e-24
6.586460 8.262430e-05   1.568311e-11 6.656186e-37   6.886494e-08 2.201730e-21   -6.205384e-08 -9.075733e-25
6.709571 8.333406e-05   2.145899e-11 2.337687e-37   6.994434e-08 -2.606906e-21   -6.302123e-08 4.944245e-24
6.832683 8.349465e-05   4.794084e-12 9.176596e-37   7.033836e-08 1.579662e-21   -6.337180e-08 4.937572e-25
6.955794 8.350891e-05   6.342297e-12 2.187912e-36   7.017093e-08 3.061454e-21   -6.320354e-08 -2.296154e-25
7.078906 8.351275e-05   1.973497e-11 2.710784e-36   7.002332e-08 3.681070e-21   -6.306868e-08 -1.970940e-24
7.202017 8.380012e-05   5.073168e-11 2.732158e-36   7.002703e-08 -1.997593e-21   -6.305530e-08 7.436842e-25
7.325128 8.373582e-05   1.900781e-11 2.007673e-36   7.005994e-08 -1.366641e-21   -6.306726e-08 -2.820916e-25
7.448240 8.421029e-05   2.211949e-11 2.985828e-36   7.073070e-08 -1.258477e-21   -6.366145e-08 2.130541e-25
7.571351 8.476394e-05   1.582982e-11 3.039630e-36   7.188588e-08 2.524907e-22   -6.471679e-08 5.711443e-25
7.694463 8.544603e-05   3.267898e-12 1.204803e-36   7.303721e-08 -4.641719e-21   -6.573945e-08 -7.371248e-25
7.817574 8.578938e-05   6.297983e-12 7.557180e-37   7.357654e-08 -1.141301e-21   -6.622302e-08 -2.550960e-24
7.940685 8.559425e-05   9.624279e-12 1.774884e-36   7.345228e-08 -1.327593e-21   -6.613553e-08 -1.135912e-24
8.063797 8.500984e-05   7.024370e-12 7.233100e-37   7.276611e-08 -7.322148e-21   -6.554646e-08 3.178996e-24
8.186908 8.445308e-05   1.559632e-11 6.550189e-37   7.192218e-08 -6.683692e-22   -6.480545e-08 -1.602479e-24
8.310020 8.400543e-05   3.083984e-11 7.939913e-37   7.117521e-08 5.915646e-22   -6.414913e-08 -8.153789e-25
8.433131 8.355902e-05   2.133025e-11 2.049304e-37   7.052934e-08 -1.475514e-21   -6.356856e-08 -1.543209e-24
8.556242 8.307445e-05   1.726263e-11 1.427530e-36   6.985124e-08 -3.945430e-21   -6.296714e-08 -4.670104e-25
8.679354 8.296588e-05   4.039724e-11 9.118819e-37   6.929235e-08 -4.894982e-21   -6.244941e-08 -2.183747e-24
8.802465 8.293730e-05   6.010853e-11 3.248436e-37   6.893599e-08 -2.053502e-21   -6.211750e-08 1.322311e-24
8.925577 8.301148e-05   5.319568e-11 1.291612e-37   6.906989e-08 3.051853e-21   -6.223219e-08 1.435407e-25
9.048688 8.342064e-05   4.896711e-11 1.714355e-37   6.960635e-08 -6.708560e-21   -6.269632e-08 -3.627499e-25
9.171799 8.373764e-05   4.834150e-11 2.711787e-37   7.017083e-08 -1.614087e-21   -6.320718e-08 9.284507e-25
9.294911 8.370556e-05   3.735009e-11 1.028446e-37   7.040751e-08 5.827181e-22   -6.343824e-08 1.369085e-24
9.418022 8.336058e-05   2.770224e-11 2.181720e-37   6.987012e-08 -6.162651e-21   -6.294884e-08 3.777692e-24
9.541134 8.287968e-05   1.374287e-11 3.575634e-37   6.911828e-08 -2.066724e-21   -6.226298e-08 3.319840e-24
9.664245 8.253317e-05   1.967439e-12 1.324954e-36   6.873766e-08 4.969669e-21   -6.192790e-08 3.183525e-25
9.787356 8.255768e-05   8.032162e-12 8.234839e-38   6.865272e-08 -9.473200e-22   -6.184499e-08 6.387715e-25
9.910468 8.252337e-05   2.532580e-12 1.205370e-37   6.866712e-08 6.335182e-22   -6.185954e-08 2.245570e-24
10.033579 8.310651e-05   2.044152e-11 1.266667e-37   6.933163e-08 -4.113564e-21   -6.244538e-08 -1.126203e-24
10.156691 8.408546e-05   4.451487e-11 1.966129e-37   7.048482e-08 4.109731e-21   -6.345897e-08 2.200262e-25
10.279802 8.489119e-05   2.062949e-11 1.065439e-36   7.174506e-08 8.545784e-21   -6.455918e-08 -3.469093e-24
10.402913 8.554571e-05   8.541016e-11 3.217251e-37   7.224222e-08 -2.347684e-21   -6.500956e-08 -2.322664e-24
10.526025 8.512919e-05   5.476648e-11 6.587606e-37   7.190166e-08 -4.138820e-22   -6.470945e-08 -2.565321e-24
10.649136 8.405423e-05   2.392772e-11 1.557493e-36   7.051128e-08 3.921115e-21   -6.347009e-08 -1.998841e-24
10.772248 8.264554e-05   7.315227e-11 1.316560e-36   6.746072e-08 -6.608419e-21   -6.070358e-08 -6.765435e-25
10.895359 7.951682e-05   2.508424e-11 2.668123e-36   6.254851e-08 6.846670e-22   -5.625067e-08 2.304214e-24
11.018470 7.481079e-05   2.865853e-11 1.140118e-36   5.544038e-08 -2.722779e-21   -4.987239e-08 -1.773466e-24
11.141582 6.821360e-05   4.511106e-11 2.218318e-36   4.599693e-08 -1.749189e-21   -4.138895e-08 -7.826783e-25
11.264693 5.882845e-05   4.181226e-12 1.803209e-36   3.485719e-08 4.972909e-21   -3.140058e-08 -5.100626e-25
11.387805 4.856151e-05   7.342093e-12 1.216148e-36   2.414418e-08 -5.503865e-21   -2.179330e-08 -3.502062e-24
