# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -1.085316e-07     -1.085316e-07 0.000000e+00  1.484781e-08 0.000000e+00  -3.139977e-08 0.000000e+00
0.770508 1.685802e-07     1.685802e-07 0.000000e+00  -9.758392e-10 0.000000e+00  2.760150e-08 0.000000e+00
1.284179 -2.048345e-07     -2.048345e-07 0.000000e+00  5.224184e-08 0.000000e+00  7.375982e-09 0.000000e+00
1.797851 5.392629e-07     5.392629e-07 0.000000e+00  -9.590868e-09 0.000000e+00  2.288883e-09 0.000000e+00
2.311523 -4.618806e-07     -4.618806e-07 0.000000e+00  -2.397413e-08 0.000000e+00  6.821158e-08 0.000000e+00
2.825194 -4.398635e-07     -4.398635e-07 0.000000e+00  -4.762783e-07 0.000000e+00  4.759650e-07 0.000000e+00
3.338866 2.439283e-07     2.439283e-07 0.000000e+00  -3.109620e-06 0.000000e+00  -1.707983e-06 0.000000e+00
3.852538 -4.965392e-06     -4.965392e-06 0.000000e+00  4.852573e-07 0.000000e+00  1.456324e-06 0.000000e+00
4.366210 2.007077e-06     2.007077e-06 0.000000e+00  -1.308193e-06 0.000000e+00  3.540382e-06 0.000000e+00
4.879881 2.540715e-06     2.540715e-06 0.000000e+00  -2.403031e-06 0.000000e+00  -1.187290e-06 0.000000e+00
5.393553 -6.212456e-07     -6.212456e-07 0.000000e+00  5.163332e-07 0.000000e+00  -2.315156e-06 0.000000e+00
5.907225 1.217613e-06     1.217613e-06 0.000000e+00  -4.040537e-07 0.000000e+00  -1.523302e-06 0.000000e+00
6.420896 1.125862e-06     1.125862e-06 0.000000e+00  3.134169e-06 0.000000e+00  3.385831e-06 0.000000e+00
6.934568 -8.457935e-07     -8.457935e-07 0.000000e+00  3.838461e-06 0.000000e+00  8.298942e-07 0.000000e+00
7.448240 1.917913e-06     1.917913e-06 0.000000e+00  -1.128765e-06 0.000000e+00  9.753937e-07 0.000000e+00
7.961912 2.540207e-07     2.540207e-07 0.000000e+00  -3.223275e-06 0.000000e+00  3.246711e-06 0.000000e+00
8.475583 -1.664446e-06     -1.664446e-06 0.000000e+00  -2.040194e-06 0.000000e+00  3.304440e-06 0.000000e+00
8.989255 -6.346531e-07     -6.346531e-07 0.000000e+00  8.654894e-07 0.000000e+00  -1.287772e-06 0.000000e+00
9.502927 -7.160161e-07     -7.160161e-07 0.000000e+00  1.413875e-06 0.000000e+00  -1.008119e-06 0.000000e+00
10.016598 1.242146e-06     1.242146e-06 0.000000e+00  -9.162215e-07 0.000000e+00  1.287146e-06 0.000000e+00
10.530270 -1.767427e-06     -1.767427e-06 0.000000e+00  -1.805687e-06 0.000000e+00  1.233330e-06 0.000000e+00
11.043942 1.395784e-06     1.395784e-06 0.000000e+00  -2.731033e-06 0.000000e+00  -1.337835e-06 0.000000e+00
11.557613 1.225454e-06     1.225454e-06 0.000000e+00  -1.194591e-06 0.000000e+00  -5.219938e-07 0.000000e+00
12.071285 -4.872693e-07     -4.872693e-07 0.000000e+00  -2.554043e-07 0.000000e+00  -1.561544e-07 0.000000e+00
12.584957 -7.188126e-07     -7.188126e-07 0.000000e+00  -9.280495e-08 0.000000e+00  1.010537e-07 0.000000e+00
13.098629 -3.593650e-07     -3.593650e-07 0.000000e+00  -8.580814e-08 0.000000e+00  -1.644547e-08 0.000000e+00
13.612300 1.182781e-07     1.182781e-07 0.000000e+00  5.333722e-08 0.000000e+00  3.020421e-09 0.000000e+00
14.125972 -1.385170e-07     -1.385170e-07 0.000000e+00  -7.999701e-09 0.000000e+00  -6.955718e-09 0.000000e+00
14.639644 1.374122e-07     1.374122e-07 0.000000e+00  5.718698e-08 0.000000e+00  3.204705e-08 0.000000e+00
