# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 nan    3.085154e-06 nan 6.599774e-17
1.596051 5.605916e-06    5.605916e-06 1.036260e-10 -4.833112e-18
2.660086 7.965477e-05    7.965310e-05 4.949737e-07 2.152611e-14
3.724120 1.661821e-04    1.643420e-04 2.418540e-05 2.326648e-11
4.788154 2.198390e-04    2.176479e-04 3.087082e-05 5.583980e-12
5.852189 2.306578e-04    2.284950e-04 3.148702e-05 1.629145e-12
6.916223 2.307643e-04    2.286523e-04 3.120030e-05 -3.162374e-12
7.980257 2.309979e-04    2.288433e-04 3.117055e-05 1.915912e-11
9.044291 2.307888e-04    2.286565e-04 3.136070e-05 -3.799595e-12
10.108326 2.207845e-04    2.185317e-04 3.148854e-05 -1.812275e-12
11.172360 1.669829e-04    1.648760e-04 2.631464e-05 6.759968e-12
12.236394 8.089819e-05    8.089823e-05 6.116567e-07 -3.792654e-13
13.300429 nan    2.627891e-06 nan -1.757859e-16
14.364463 nan    2.800503e-06 nan 2.050013e-17
