# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.289596e-06    1.259048e-06 2.769118e-07 1.176315e-15
1.596051 5.270959e-06    5.015668e-06 1.627510e-06 -2.270583e-14
2.660086 8.233090e-05    8.217782e-05 4.913428e-06 1.040997e-12
3.724120 1.955669e-04    1.656055e-04 1.037764e-04 5.167834e-11
4.788154 2.551603e-04    2.178072e-04 1.326998e-04 5.753217e-11
5.852189 2.643876e-04    2.277069e-04 1.340910e-04 6.995339e-11
6.916223 2.631016e-04    2.282392e-04 1.306331e-04 6.429001e-11
7.980257 2.648840e-04    2.290450e-04 1.346765e-04 -4.358269e-10
9.044291 2.645946e-04    2.286440e-04 1.326920e-04 1.250734e-10
10.108326 2.553612e-04    2.183751e-04 1.320024e-04 9.702233e-11
11.172360 1.942036e-04    1.660362e-04 1.006671e-04 1.315317e-11
12.236394 8.208943e-05    8.189110e-05 5.710251e-06 -8.423695e-14
13.300429 4.593615e-06    4.381813e-06 1.367088e-06 3.208843e-14
14.364463 3.699283e-06    2.949293e-06 2.234084e-06 -4.770477e-15
