# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.489680e-05    1.259048e-06 9.488844e-05 1.174395e-15
1.596051 9.506057e-05    5.015668e-06 9.492828e-05 -2.268492e-14
2.660086 1.259240e-04    8.217782e-05 9.540763e-05 1.039887e-12
3.724120 2.809486e-04    1.656055e-04 2.268376e-04 5.164021e-11
4.788154 3.563979e-04    2.178072e-04 2.819965e-04 5.747036e-11
5.852189 3.631358e-04    2.277069e-04 2.827495e-04 6.990653e-11
6.916223 3.600507e-04    2.282392e-04 2.783507e-04 6.423528e-11
7.980257 3.643100e-04    2.290450e-04 2.840697e-04 -4.353874e-10
9.044291 3.619441e-04    2.286440e-04 2.803578e-04 1.249528e-10
10.108326 3.552863e-04    2.183751e-04 2.800780e-04 9.696064e-11
11.172360 2.778842e-04    1.660362e-04 2.227969e-04 1.315006e-11
12.236394 1.258261e-04    8.189110e-05 9.553078e-05 -8.410170e-14
13.300429 9.503224e-05    4.381813e-06 9.493099e-05 3.206292e-14
14.364463 9.500295e-05    2.949293e-06 9.495718e-05 -4.766498e-15
