# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.279879e-06    1.259048e-06 2.274009e-07 1.176315e-15
1.596051 5.218378e-06    5.015668e-06 1.448187e-06 -2.270583e-14
2.660086 8.229622e-05    8.217782e-05 4.293231e-06 1.040997e-12
3.724120 1.879746e-04    1.656055e-04 8.864305e-05 5.167834e-11
4.788154 2.454994e-04    2.178072e-04 1.130151e-04 5.753217e-11
5.852189 2.550216e-04    2.277069e-04 1.145234e-04 6.995339e-11
6.916223 2.539850e-04    2.282392e-04 1.111347e-04 6.429001e-11
7.980257 2.554574e-04    2.290450e-04 1.150335e-04 -4.358269e-10
9.044291 2.554288e-04    2.286440e-04 1.133169e-04 1.250734e-10
10.108326 2.458251e-04    2.183751e-04 1.124512e-04 9.702233e-11
11.172360 1.868743e-04    1.660362e-04 8.567853e-05 1.315317e-11
12.236394 8.204087e-05    8.189110e-05 4.963613e-06 -8.423695e-14
13.300429 4.533117e-06    4.381813e-06 1.147511e-06 3.208843e-14
14.364463 3.571107e-06    2.949293e-06 2.014757e-06 -4.770477e-15
