# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 6.882263e-07    6.740033e-07 1.391326e-07 1.701617e-17
1.596051 1.131409e-06    1.130524e-06 4.475513e-08 -1.739236e-18
2.660086 1.697288e-05    1.535507e-05 7.230879e-06 1.511054e-14
3.724120 2.025705e-04    2.913397e-05 2.004568e-04 3.118221e-12
4.788154 2.663383e-04    3.820882e-05 2.635848e-04 -7.293078e-13
5.852189 2.677368e-04    4.055371e-05 2.646463e-04 7.300057e-13
6.916223 2.679790e-04    4.061092e-05 2.648846e-04 -3.705771e-13
7.980257 2.663678e-04    4.062401e-05 2.632456e-04 3.248189e-12
9.044291 2.686482e-04    4.060542e-05 2.655627e-04 -4.991599e-13
10.108326 2.688577e-04    3.837358e-05 2.661052e-04 -4.498194e-14
11.172360 2.157092e-04    2.928355e-05 2.137093e-04 1.291391e-12
12.236394 1.737760e-05    1.557154e-05 7.718858e-06 -7.269873e-14
13.300429 9.374230e-07    9.325293e-07 9.614941e-08 -9.375051e-17
14.364463 8.202042e-07    8.181977e-07 5.734340e-08 -7.180388e-19
