# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     3.800251e-06 6.276476e-06 1.378453e-05     2.536377e-06 0.000000e+00 9.586891e-06     1.263874e-06 6.276476e-06 4.197638e-06
1.596051     -3.477259e-06 3.383115e-06 -2.905046e-06     -1.908885e-06 0.000000e+00 2.777874e-06     -1.568373e-06 3.383115e-06 -5.682921e-06
2.660086     -4.147715e-04 -2.832897e-07 3.495531e-06     -4.071520e-04 0.000000e+00 5.264095e-06     -7.619575e-06 -2.832897e-07 -1.768565e-06
3.724120     -8.534865e-04 3.748060e-06 8.352736e-06     -8.244577e-04 0.000000e+00 5.337317e-06     -2.902881e-05 3.748060e-06 3.015418e-06
4.788154     -2.627934e-04 3.933865e-06 -1.292070e-06     -2.672256e-04 0.000000e+00 -2.733781e-06     4.432221e-06 3.933865e-06 1.441711e-06
5.852189     -1.639767e-05 -1.437179e-07 -1.223603e-05     -1.035978e-05 0.000000e+00 -1.682330e-06     -6.037896e-06 -1.437179e-07 -1.055370e-05
6.916223     -1.538683e-06 -1.346735e-06 1.981285e-06     -8.488969e-07 0.000000e+00 -7.272199e-07     -6.897864e-07 -1.346735e-06 2.708505e-06
7.980257     6.779538e-06 1.679071e-08 2.724285e-06     1.384387e-05 0.000000e+00 5.228574e-06     -7.064328e-06 1.679071e-08 -2.504289e-06
9.044291     -3.373884e-06 5.906059e-06 -5.707998e-06     2.910546e-06 0.000000e+00 -5.117926e-06     -6.284431e-06 5.906059e-06 -5.900717e-07
10.108326     2.699073e-04 -5.177509e-06 -4.812799e-06     2.614073e-04 0.000000e+00 -1.040462e-06     8.499984e-06 -5.177509e-06 -3.772337e-06
11.172360     8.664938e-04 -1.229184e-06 3.029782e-06     8.357841e-04 0.000000e+00 2.102460e-06     3.070970e-05 -1.229184e-06 9.273211e-07
12.236394     4.097695e-04 1.916107e-07 4.443952e-06     4.048988e-04 0.000000e+00 2.951074e-06     4.870718e-06 1.916107e-07 1.492879e-06
13.300429     -8.440903e-06 -1.402209e-06 -8.754236e-06     -6.511939e-06 0.000000e+00 4.493582e-07     -1.928964e-06 -1.402209e-06 -9.203595e-06
14.364463     -2.603791e-06 3.415806e-06 6.722023e-06     -6.343007e-08 0.000000e+00 4.472732e-06     -2.540361e-06 3.415806e-06 2.249291e-06
